#-----------------------------------------------------------------------------,,,,,,,,,,
# comment start with #,,,,,,,,,,
# level; // 0 : root  ~ n,,,,,,,,,,
# type; // 0: Message, 1: Field, 2:Group 3, Grid, 4 : Field Array, 9 : BIZ DATA,,,,,
# size // 0 : variable, > 0 fixed,,,,,,,,,
# fieldType; // 0: ELEMENT, 1: ATTRIBUTE,,,,,,,,,
# length;,,,,,,,,,,
# dataType; // 0: String, 1: Number,10: ZZ String, 11: LL Number,,,,,,,
#-----------------------------------------------------------------------------,,,,,,,,,,
# name                  ,level ,type  ,size ,fieldType ,length ,dataType ,,refPath, refValue,value
#-----------------------------------------------------------------------------,,,,,,,,,,
# name                  ,level ,type  ,size ,fieldType ,length  ,dataType ,refPath, refValue, value
STD_SBI_HEADER_REQ      ,0,0,1,0,0,0,       ,         ,
STD_HEADER              ,1,2,1,0,0,0,       ,         ,
mesgLen,2,1,1,0,8,11,       ,         ,
mesgKind,2,1,1,0,1,0,       ,         ,
dtlDstc1,2,1,1,0,1,0,       ,         ,
dtlDstc2,2,1,1,0,1,0,       ,         ,
rsltCd,2,1,1,0,2,0,       ,         ,
filler,2,1,1,0,11,0,       ,         ,
whlMesgLen,2,1,1,0,8,0,       ,         ,
stndHdrLen,2,1,1,0,8,0,       ,         ,
globId,2,1,1,0,32,0,       ,         ,
prgsSrno,2,1,1,0,3,0,       ,         ,
ipAd,2,1,1,0,15,0,       ,         ,
prcmMac,2,1,1,0,12,0,       ,         ,
trnTrnmNo,2,1,1,0,9,0,       ,         ,
ssoSesnKey,2,1,1,0,30,0,       ,         ,
frstTrnmChnlCd,2,1,1,0,3,0,       ,         ,
trnmChnlCd,2,1,1,0,3,0,       ,         ,
trnmNodeNo,2,1,1,0,2,0,       ,         ,
mciTrnmNodeNo,2,1,1,0,2,0,       ,         ,
trmnDeptCd,2,1,1,0,4,0,       ,         ,
envDvcd,2,1,1,0,1,0,       ,         ,
mesgDmndDttm,2,1,1,0,17,0,       ,         ,
mesgVrsnDvcd,2,1,1,0,3,0,       ,         ,
trnCd,2,1,1,0,8,0,       ,         ,
scrnNo,2,1,1,0,9,0,       ,         ,
mesgRespDttm,2,1,1,0,17,0,       ,         ,
trnPtrnDvcd,2,1,1,0,1,0,       ,         ,
mesgDvcd,2,1,1,0,1,0,       ,         ,
mesgTycd,2,1,1,0,1,0,,,
mesgCntySrno,2,1,1,0,2,0,,,
bfrDtLoinYn,2,1,1,0,1,0,,,
canCrctDvcd,2,1,1,0,1,0,,,
trtmRsltCd,2,1,1,0,1,0,,,
cmpgRelmUseDvcd,2,1,1,0,1,0,,,
bankCd,2,1,1,0,3,0,,,
deptCd,2,1,1,0,4,0,,,
brCd,2,1,1,0,4,0,,,
atmBrCd,2,1,1,0,2,0,,,
userNo,2,1,1,0,6,0,,,
corpAuthYn,2,1,1,0,1,0,,,
ctiYn,2,1,1,0,1,0,,,
cshnOcrnYn,2,1,1,0,1,0,,,
cashAmt,2,1,1,0,18,0,,,
otbrAmt1,2,1,1,0,18,0,,,
otbrAmt2,2,1,1,0,18,0,,,
sumAmt,2,1,1,0,18,0,,,
altrDiffAmt,2,1,1,0,18,0,,,
xtisCd,2,1,1,0,4,0,,,
bzwrSvrCd,2,1,1,0,4,0,,,
otsdMesgCd,2,1,1,0,32,0,,,
otsdMesgTrtmCd,2,1,1,0,32,0,,,
otsdTrnUnqNo,2,1,1,0,32,0,,,
otsdRespTrnCd,2,1,1,0,8,0,,,
chnlMsgCd,2,1,1,0,10,0,,,
sprChrsCntn,2,1,1,0,80,0,,,
STD_COMMON,1,2,1,0,0,0,,,
aprvStcd,2,1,1,0,2,0,,,
aprvDmndTrnAmt,2,1,1,0,18,0,,,
aprvDmndCustNm,2,1,1,0,50,0,,,
aprvDmndMsg,2,1,1,0,100,0,,,
aprvMsgCcnt,2,1,1,0,2,1,,,
STDCommonApprovalMsg,2,3,0,0,0,0,STD_COMMON.aprvMsgCcnt,,
aprvMsgCd,3,1,1,0,8,0,,,
aprvMsgCntn,3,1,1,0,100,0,,,
aprvAlwnSqcnt,2,1,1,0,1,1,,,
loinPrcgPcnt,2,1,1,0,2,1,,,
STDCommonLoginManager,2,3,0,0,0,0,STD_COMMON.loinPrcgPcnt,,
loinPrcgEmno,3,1,1,0,6,0,,,
loinPrcgNm,3,1,1,0,20,0,,,
loinPrcgIpad,3,1,1,0,15,0,,,
aprrPcnt,2,1,1,0,2,1,,,
STDCommonApprover,2,3,0,0,0,0,STD_COMMON.aprrPcnt,,
aprrEmno,3,1,1,0,6,0,,,
aprrMsg,3,1,1,0,100,0,,,
STDMsg,1,2,1,0,0,0,,,
msgCcnt,2,1,1,0,2,1,,,
STDMsgError,2,3,0,0,0,0,STDMsg.msgCcnt,,
msgCd,3,1,1,0,8,0,,,
msgCntn,3,1,1,0,100,0,,,
erorOcrnPrrmLine,3,1,1,0,7,1,,,
erorOcrnPrrmNm,3,1,1,0,100,0,,,
STDDataHeader,1,2,1,0,0,0,,,
otptMediPtrnCcnt,2,1,1,0,2,1,,,
STDDataHeaderItem,2,3,0,0,0,0,STDDataHeader.otptMediPtrnCcnt,,
otptTrnCd,3,1,1,0,8,0,,,
otptYn,3,1,1,0,1,0,,,
otptScrnNo,3,1,1,0,9,0,,,
drvtnDvcd,3,1,1,0,1,0,,,
gdncMsg,3,1,1,0,50,0,,,
bizData,1,9,1,0,0,0,,,
zzData,1,1,1,0,2,10,,,@@
