# comment start with #
# level; // 0 : root  ~ n
# type; // 0: Message, 1: Field, 2:Group 3, GRID, 4 : Field Array, 9 : BIZ DATA
# size // 0 : variable, > 0 fixed
# fieldType; // 0: ELEMENT, 1: ATTRIBUTE,
# length;
# dataType; // 0: String, 1: Number,10: ZZ String, 11: LL Number
#name                ,level,type,size,fieldType,length,dataType,refPath,refValue,value
ElinkHeader          ,0    ,0   ,1    ,0       , 0    ,0       ,,,
Header               ,1    ,2   ,1    ,1       , 0    ,0       ,,,
StndCicsTrncd        ,2    ,1   ,1    ,1       ,10    ,0       ,,,
StndIntnlStndTelgmLen,2    ,1   ,1    ,1       ,10    ,11      ,,,0
StndTranBaseYmd      ,2    ,1   ,1    ,1       ,10    ,0       ,,,
Common               ,1    ,2   ,0    ,0       , 0    ,0       ,Header.StndCicsTrncd,JI6H,
TranInfo             ,2    ,2   ,1    ,0       , 0    ,0       ,,,
StndCicsTrncd        ,3    ,1   ,1    ,0       , 3    ,0       ,,,
StndTelgmRecvTranCd  ,3    ,1   ,1    ,0       ,10    ,0       ,,,
StndPrcssRtdTranCd   ,3    ,1   ,1    ,0       ,10    ,0       ,,,
Array                ,1    ,3   ,0    ,0       , 3    ,0       ,,,
Item1                ,2    ,1   ,1    ,0       ,10    ,0       ,,,ITM
Group                ,2    ,3   ,1    ,0       , 1    ,0       ,,,
gitem1               ,3    ,1   ,1    ,0       ,10    ,1       ,,,726
gitem2               ,3    ,1   ,1    ,0       ,10    ,0       ,,,20220905
FArray               ,1    ,4   ,3    ,0       ,10    ,0       ,,,
bizData              ,1    ,9   ,1    ,0       , 0    ,0       ,,,
zzData               ,1    ,1   ,1    ,0       , 2    ,10      ,,,ZZ
